date,5RLST,S5COND,S5CONS,S5HLTH,S5INDU,S5INFT,S5MATR,S5TELS,S5UTIL,SPF,SPN,SP500,SP1500
2014-08-01,-0.0017012788924088973,-0.0035428396338426094,0.007666118013122558,-0.00025554751054124303,-0.0007616487455196497,-0.004054138339674496,0.0005208502880953425,-0.009303185262768743,0.004202884707230847,-0.008746065926784952,-0.00711369100971726,-0.0028591110857888458,-0.0028237192416298296
2014-08-04,0.005758946935417564,0.010108969307939253,0.004005280705287273,0.0048282423777672445,0.0030713356947495996,0.006685245490982039,0.011062306816333134,0.00603233830845773,-0.005849900123656382,0.007987700945824239,0.01609182225915995,0.007189050203880276,0.007124235886371899
2014-08-05,-0.010400233713117157,-0.0070016552826348555,-0.00474704702473816,-0.008945858477366841,-0.0055427664662629494,-0.009393614208619061,-0.00952534191472243,-0.009025159176608843,-0.01277328613117723,-0.00991379310344831,-0.021379213087011628,-0.009685454798632254,-0.00901524111306995
2014-08-06,0.002597862667532702,-0.002586652871184758,0.008643661687977255,-0.0012121039272167122,-0.004607259242611517,-0.0021037758065782786,0.006855323434809213,-0.012912482065997044,-0.012841635975964327,0.0036502461404506192,0.0039196472317490905,1.56232912025267e-05,0.0002026616226440403
2014-08-07,0.00029444673458578485,-0.004898570769939936,-0.00808116688497651,-0.011864479376365145,0.0008354030255137701,-0.004531080379478025,-0.008873830267828287,-0.010048028311425705,0.011437828285307372,-0.0053053053053052635,-0.006832601268911609,-0.005556597092030158,-0.005380701517402775
2014-08-08,0.0073001295184267345,0.01563676376903933,0.009870408916940798,0.01140008669267445,0.013986960543235671,0.006969797543975975,0.010711378805144056,0.004915416533673778,0.01980198019801982,0.009727952769112092,0.016765428530134407,0.011531391884036735,0.011340229520812928
2014-08-11,0.005026300409117557,0.004447739065974954,0.00762411347517733,7.142959185135744e-05,0.004204952499610615,0.005744420378566595,-0.000708671562942853,0.0006987676280016952,-0.00404530744336562,0.0014949669446198133,-0.0014925373134327957,0.0027593847555642537,0.0031110116383168407
2014-08-12,-0.0025587345894393376,-0.0029898760526068102,-0.001385711771951459,-0.0013999200045712312,-0.0023927685218009254,-0.0020287141073657144,0.002611050222422584,0.004507078016885657,-0.0011468437903188189,0.0013268758707623007,-0.006648160011388793,-0.001636618962063574,-0.001985764965751091
2014-08-13,0.011077425373134275,0.0035302826124090636,0.002510957908416156,0.011472548851314768,0.008483610198099178,0.011399530883502651,0.004147509886506251,0.0010743174924165988,0.0021049610103813787,0.005333598356854319,0.0033248301757000664,0.006707175177763425,0.006796333556896794
2014-08-14,0.0012109329950409364,0.007659864202901101,0.004196418763045218,0.011794987837302484,0.004624532041400453,0.0011904945963914226,0.0008004610655738542,0.00359825768575206,0.009595646154580528,0.0054371107522983575,-0.005027853163833695,0.004345771348730265,0.004174623617711148
2014-08-15,-0.00011518746760341703,-0.0014264799729719613,0.0010939482781253673,0.0011042464566268784,-0.002783866725120543,0.001127308666378335,0.002143519851553366,-0.0042143665869920355,0.003120862492907106,-0.004195070791819688,0.005125039478595328,-6.137542323469969e-05,-0.00015479191543954496
